"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
668590;2025-03-21;"sexta-feira";"07:40:00";"PR";116;111;"CURITIBA";"Trafegar com motocicleta (ou similar) entre as faixas";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Não";3;0;1;0;2;0;1;3;-25,556448;-49,271395;"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
668592;2025-03-21;"sexta-feira";"08:35:00";"SP";153;64;"SAO JOSE DO RIO PRETO";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta;Viaduto";"Sim";2;0;1;0;1;0;1;2;-20,831198;-49,361953;"SPRF-SP";"DEL09-SP";"UOP01-DEL09-SP"
668593;2025-03-21;"sexta-feira";"07:40:00";"AL";316;263;"SATUBA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;1;1;0;1;2;-9,587;-35,875;"SPRF-AL";"DEL02-AL";"UOP01-DEL02-AL"
668594;2025-03-21;"sexta-feira";"08:40:00";"SC";101;134;"BALNEARIO CAMBORIU";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;-27,00369378;-48,63214997;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
668595;2025-01-24;"sexta-feira";"23:40:00";"PE";232;84,5;"GRAVATA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta;Declive";"Não";4;0;1;1;2;0;2;2;-8,2059894;-35,60359683;"SPRF-PE";"DEL02-PE";"UOP02-DEL02PE"
668598;2025-03-21;"sexta-feira";"08:15:00";"SE";101;151,1;"ESTANCIA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-11,268532;-37,442716;"SPRF-SE";"DEL02-SE";"UOP01-DEL02-SE"
668599;2025-03-21;"sexta-feira";"08:55:00";"GO";60;389;"RIO VERDE";"Acumulo de óleo sobre o pavimento";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;1;-17,82515332;-50,96095204;"SPRF-GO";"DEL04-GO";"UOP02-DEL04-GO"
668601;2025-03-21;"sexta-feira";"08:00:00";"PR";376;221;"CAMBIRA";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta;Aclive";"Não";2;1;0;0;0;1;0;2;-23,602354;-51,597236;"SPRF-PR";"DEL09-PR";"UOP01-DEL09-PR"
668602;2025-03-21;"sexta-feira";"08:30:00";"GO";40;20,7;"LUZIANIA";"Área urbana sem a presença de local apropriado para a travessia de pedestres";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;2;0;0;0;2;2;-16,22254;-47,914997;"SPRF-DF";"DEL01-DF";"UOP01-DEL01-DF"
668603;2025-03-20;"quinta-feira";"02:30:00";"BA";324;420;"RIACHAO DO JACUIPE";"Falta de acostamento";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;0;2;0;1;2;-11,71006913;-39,52019656;"SPRF-BA";"DEL04-BA";"UOP02-DEL04-BA"
668604;2025-03-21;"sexta-feira";"09:00:00";"PR";476;126;"CURITIBA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta;Aclive";"Sim";4;0;1;0;1;2;1;4;-25,42842599;-49,22862941;"SPRF-PR";"DEL01-PR";"UOP01-DEL01-PR"
668606;2025-03-21;"sexta-feira";"09:20:00";"GO";60;112;"GOIANAPOLIS";"Reação tardia ou ineficiente do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Declive;Reta";"Não";1;0;0;1;0;0;1;1;-16,45172597;-49,05017853;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
668607;2025-03-21;"sexta-feira";"09:20:00";"PE";428;190,5;"PETROLINA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;1;1;0;1;2;-9,376833;-40,497927;"SPRF-PE";"DEL06-PE";"UOP01-DEL06-PE"
668609;2025-03-21;"sexta-feira";"09:35:00";"PR";369;178;"ARAPONGAS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-23,360948;-51,399555;"SPRF-PR";"DEL07-PR";"UOP01-DEL07-PR"
668612;2025-03-21;"sexta-feira";"09:15:00";"RO";364;426,9;"JARU";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta;Rotatória";"Sim";2;0;1;0;1;0;1;2;-10,42660818;-62,4885851;"SPRF-RO";"DEL03-RO";"UOP02-DEL03-RO"
668617;2025-03-21;"sexta-feira";"11:35:00";"RJ";116;320;"ITATIAIA";"Demais falhas mecânicas ou elétricas";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;2;0;0;0;2;2;-22,48849034;-44,55183506;"SPRF-RJ";"DEL07-RJ";"UOP02-DEL07-RJ"
668618;2025-03-21;"sexta-feira";"11:20:00";"SC";101;116,9;"ITAJAI";"Área urbana sem a presença de local apropriado para a travessia de pedestres";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Não";3;0;0;1;2;0;1;3;-26,88825654;-48,72241259;"SPRF-SC";"DEL04-SC";"UOP04-DEL04-SC"
668619;2025-02-17;"segunda-feira";"07:05:00";"RN";406;147;"CEARA-MIRIM";"Afundamento ou ondulação no pavimento";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;1;0;0;2;2;-5,64619702;-35,459121;"SPRF-RN";"DEL02-RN";"UOP01-DEL02-RN"
668620;2025-03-21;"sexta-feira";"10:36:00";"PE";104;20;"TAQUARITINGA DO NORTE";"Acesso irregular";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";3;0;1;2;0;0;3;2;-7,97389773;-36,108284;"SPRF-PE";"DEL02-PE";"UOP01-DEL02-PE"
668621;2025-03-21;"sexta-feira";"11:36:00";"SC";470;50,1;"BLUMENAU";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-26,85982542;-49,07626033;"SPRF-SC";"DEL04-SC";"UOP01-DEL04-SC"
668622;2025-03-21;"sexta-feira";"10:30:00";"ES";101;347,6;"GUARAPARI";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Não";4;0;1;0;0;3;1;2;-20,65219;-40,62928;"SPRF-ES";"DEL03-ES";"UOP01-DEL03-ES"
668624;2025-03-21;"sexta-feira";"09:30:00";"MG";262;449,8;"NOVA SERRANA";"Transitar no Acostamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta;Interseção de Vias";"Não";2;0;1;1;0;0;2;2;-19,85130123;-45,02705812;"SPRF-MG";"DEL08-MG";"UOP03-DEL08-MG"
668627;2025-03-21;"sexta-feira";"09:30:00";"BA";101;649;"ITAPEBI";"Velocidade Incompatível";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Curva";"Não";2;0;1;0;1;0;1;2;-15,93134869;-39,56274033;"SPRF-BA";"DEL05-BA";"UOP02-DEL05-BA"
668629;2025-03-21;"sexta-feira";"13:40:00";"MG";40;606,8;"CONGONHAS";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Retorno Regulamentado;Reta";"Sim";2;0;1;0;1;0;1;2;-20,4762212;-43,84263631;"SPRF-MG";"DEL05-MG";"UOP02-DEL05-MG"
668630;2025-03-21;"sexta-feira";"13:10:00";"PE";101;71;"RECIFE";"Transitar no Acostamento";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";3;0;1;0;1;1;1;3;-8,08432;-34,94448;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
668633;2025-03-21;"sexta-feira";"13:10:00";"MG";381;557;"ITAGUARA";"Acessar a via sem observar a presença dos outros veículos";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Garoa/Chuvisco";"Dupla";"Aclive;Reta";"Não";4;0;1;1;1;1;2;2;-20,35666147;-44,45847066;"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
668634;2025-02-25;"terça-feira";"21:50:00";"SC";280;125;"RIO NEGRINHO";"Acesso irregular";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;0;1;1;2;-26,23912555;-49,5026328;"SPRF-SC";"DEL06-SC";"UOP03-DEL06-SC"
668636;2025-03-21;"sexta-feira";"11:30:00";"SC";282;26,7;"SANTO AMARO DA IMPERATRIZ";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-27,70144162;-48,80066687;"SPRF-SC";"DEL01-SC";"UOP03-DEL01-SC"
668637;2025-03-21;"sexta-feira";"09:50:00";"MT";364;269;"JACIARA";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-15,97645061;-54,94194031;"SPRF-MT";"DEL02-MT";"UOP01-DEL02-MT"
