id;ano;feriado;mes;data_inversa;uf;br;km;municipio;causa_acidente;classificacao_acidente;veiculos;condicao_metereologica;fase_dia;dia_semana;tipo_acidente;tipo_pista;mortos;feridos_graves;latitude;longitude;status;regiao;periodo;palavras_filtradas;lemma;normalizado;Topic;Top Terms;Categoria
670744;2025.0;n;3.0;2025-03-30;BA;116;729;BOA NOVA;Ausência de reação do condutor;Sem Vítimas;2;Céu Claro;Plena Noite;domingo;Saída de leito carroçável;Simples;0;0;-14,27364367;-40,29798031;Segura;Nordeste;1 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
654526;2025.0;n;1.0;2025-01-11;BA;415;26,2;VITORIA DA CONQUISTA;Ausência de reação do condutor;Com Vítimas Feridas;3;Chuva;Plena Noite;sábado;Colisão frontal;Simples;0;0;-14,85036;-40,80472;Segura;Nordeste;1 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
597106;2024.0;n;4.0;2024-04-28;MA;316;365,4;BACABAL;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Plena Noite;domingo;Colisão traseira;Simples;0;1;-4.221842;-44.751778;Perigosa;Nordeste;2 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
626266;2024.0;n;9.0;2024-09-06;AC;317;100;SENADOR GUIOMARD;Ultrapassagem Indevida;Sem Vítimas;4;Céu Claro;Plena Noite;sexta-feira;Colisão lateral mesmo sentido;Simples;0;0;-10.32899603;-67.68797014;Segura;Norte;3 Trimestre;ultrapassagem indevida;ultrapassagem indevida;ultrapassagem indevida;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
618326;2024.0;n;8.0;2024-08-01;MT;163;560;DIAMANTINO;Reação tardia ou ineficiente do condutor;Sem Vítimas;7;Céu Claro;Pleno dia;quinta-feira;Colisão lateral sentido oposto;Simples;0;0;-14.23756178;-56.11786216;Segura;Centro-Oeste;3 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
666308;2025.0;n;3.0;2025-03-10;MS;262;365,6;CAMPO GRANDE;Ausência de reação do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;segunda-feira;Colisão traseira;Simples;0;0;-20,488031;-54,743489;Segura;Centro-Oeste;1 Trimestre;ausência reação condutor;ausência reação condutor;ausência reação condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
664350;2025.0;n;2.0;2025-02-28;MA;135;67;SANTA RITA;Transitar na contramão;Com Vítimas Feridas;5;Céu Claro;Plena Noite;sexta-feira;Colisão frontal;Dupla;0;0;-3,114607;-44,32343;Segura;Nordeste;1 Trimestre;transitar contramão;transitar contramão;transitar contramão;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
657055;2025.0;n;1.0;2025-01-24;SP;116;220;GUARULHOS;Ingestão de álcool pelo condutor;Sem Vítimas;3;Céu Claro;Pleno dia;sexta-feira;Colisão traseira;Múltipla;0;0;-23,46472809;-46,49793962;Segura;Sudeste;1 Trimestre;ingestão álcool condutor;ingestão álcool condutor;ingestão álcool condutor;2;carga, súbito, chuva, mal, álcool, ingestão, indevida, ultrapassagem, condutor, dormindo;Condutor sob efeitos de substâncias
685568;2025.0;n;4.0;2025-04-17;PR;277;661,3;MATELANDIA;Reação tardia ou ineficiente do condutor;Com Vítimas Feridas;2;Céu Claro;Pleno dia;quinta-feira;Colisão traseira;Dupla;0;1;-25,2524921;-54,00262702;Perigosa;Sul;2 Trimestre;reação tardia ineficiente condutor;reação tardia ineficiente condutor;reação tardia ineficient condutor;0;largura, curva, acentuada, incompatível, velocidad, tardia, ineficient, ausência, condutor, reação;Condutor reação tardia
589280;2024.0;n;3.0;2024-03-23;MA;135;248,9;CAPINZAL DO NORTE;Transitar na contramão;Com Vítimas Fatais;3;Céu Claro;Pleno dia;sábado;Colisão frontal;Simples;1;0;-4.55556397;-44.34678315;Perigosa;Nordeste;1 Trimestre;transitar contramão;transitar contramão;transitar contramão;4;pneu, desgast, avaria, excessivo, animai, andava, acostamento, pista, contramão, transitar;Manobra imprudente condutor
